  225,20160101,   52,     
  225,20160102,   72,     
  225,20160103,   81,     
  225,20160104,   46,     
  225,20160105,   53,     
  225,20160106,   71,     
  225,20160107,  107,     
  225,20160108,  110,     
  225,20160109,   73,     
  225,20160110,  119,     
  225,20160111,   74,     
  225,20160112,  122,     
  225,20160113,   97,     
  225,20160114,   97,     
  225,20160115,   50,     
  225,20160116,  124,     
  225,20160117,   55,     
  225,20160118,   37,     
  225,20160119,   51,     
  225,20160120,   44,     
  225,20160121,   39,     
  225,20160122,   69,     
  225,20160123,   72,     
  225,20160124,   89,     
  225,20160125,   83,     
  225,20160126,  135,     
  225,20160127,  163,     
  225,20160128,  120,     
  225,20160129,  178,     
  225,20160130,  155,     
  225,20160131,  106,     
  225,20160201,  150,     
  225,20160202,  149,     
  225,20160203,  118,     
  225,20160204,   78,     
  225,20160205,   98,     
  225,20160206,  105,     
  225,20160207,  151,     
  225,20160208,  188,     
  225,20160209,  111,     
  225,20160210,  106,     
  225,20160211,   73,     
  225,20160212,   43,     
  225,20160213,   83,     
  225,20160214,   90,     
  225,20160215,   77,     
  225,20160216,   28,     
  225,20160217,   39,     
  225,20160218,   68,     
  225,20160219,   72,     
  225,20160220,  126,     
  225,20160221,  141,     
  225,20160222,   91,     
  225,20160223,   70,     
  225,20160224,   50,     
  225,20160225,   70,     
  225,20160226,   29,     
  225,20160227,   72,     
  225,20160228,   69,     
  225,20160229,   51,     
  225,20160301,  103,     
  225,20160302,   88,     
  225,20160303,   58,     
  225,20160304,   56,     
  225,20160305,   42,     
  225,20160306,   38,     
  225,20160307,   41,     
  225,20160308,   55,     
  225,20160309,   75,     
  225,20160310,   60,     
  225,20160311,   64,     
  225,20160312,   45,     
  225,20160313,   74,     
  225,20160314,   79,     
  225,20160315,   55,     
  225,20160316,   84,     
  225,20160317,   61,     
  225,20160318,   63,     
  225,20160319,   73,     
  225,20160320,   63,     
  225,20160321,   65,     
  225,20160322,   52,     
  225,20160323,   49,     
  225,20160324,   69,     
  225,20160325,   77,     
  225,20160326,   90,     
  225,20160327,  101,     
  225,20160328,  145,     
  225,20160329,   98,     
  225,20160330,   83,     
  225,20160331,   46,     
  225,20160401,   33,     
  225,20160402,   37,     
  225,20160403,   50,     
  225,20160404,   45,     
  225,20160405,   48,     
  225,20160406,  120,     
  225,20160407,  107,     
  225,20160408,   41,     
  225,20160409,   50,     
  225,20160410,   63,     
  225,20160411,   85,     
  225,20160412,   43,     
  225,20160413,   33,     
  225,20160414,   36,     
  225,20160415,   41,     
  225,20160416,   95,     
  225,20160417,   60,     
  225,20160418,  102,     
  225,20160419,   70,     
  225,20160420,   58,     
  225,20160421,   67,     
  225,20160422,   68,     
  225,20160423,   84,     
  225,20160424,   97,     
  225,20160425,   96,     
  225,20160426,  138,     
  225,20160427,   94,     
  225,20160428,   57,     
  225,20160429,  112,     
  225,20160430,   60,     
  225,20160501,   35,     
  225,20160502,   76,     
  225,20160503,   61,     
  225,20160504,   38,     
  225,20160505,   51,     
  225,20160506,   47,     
  225,20160507,   46,     
  225,20160508,   70,     
  225,20160509,   75,     
  225,20160510,   45,     
  225,20160511,   61,     
  225,20160512,   97,     
  225,20160513,   98,     
  225,20160514,  107,     
  225,20160515,   90,     
  225,20160516,   60,     
  225,20160517,   59,     
  225,20160518,   49,     
  225,20160519,   55,     
  225,20160520,   96,     
  225,20160521,   53,     
  225,20160522,   40,     
  225,20160523,   95,     
  225,20160524,   87,     
  225,20160525,   34,     
  225,20160526,   39,     
  225,20160527,   63,     
  225,20160528,   52,     
  225,20160529,   73,     
  225,20160530,  116,     
  225,20160531,   60,     
  225,20160601,   85,     
  225,20160602,  115,     
  225,20160603,   41,     
  225,20160604,   39,     
  225,20160605,   70,     
  225,20160606,   58,     
  225,20160607,   55,     
  225,20160608,   62,     
  225,20160609,   59,     
  225,20160610,   41,     
  225,20160611,   30,     
  225,20160612,   30,     
  225,20160613,   52,     
  225,20160614,   73,     
  225,20160615,   45,     
  225,20160616,   38,     
  225,20160617,   42,     
  225,20160618,   80,     
  225,20160619,   63,     
  225,20160620,   98,     
  225,20160621,   48,     
  225,20160622,   42,     
  225,20160623,   39,     
  225,20160624,   45,     
  225,20160625,   43,     
  225,20160626,   73,     
  225,20160627,   75,     
  225,20160628,   39,     
  225,20160629,  109,     
  225,20160630,   88,     
  225,20160701,  133,     
  225,20160702,  108,     
  225,20160703,   63,     
  225,20160704,   40,     
  225,20160705,  110,     
  225,20160706,   58,     
  225,20160707,   58,     
  225,20160708,   83,     
  225,20160709,   78,     
  225,20160710,   89,     
  225,20160711,  145,     
  225,20160712,   58,     
